,early_ndvi,peak_ndvi,peak_doy,green_up_rate,decline_rate,cluster,confidence
0413100003,0.10810900897514529,0.7631837798327934,174,0.030314936916633395,-0.043227072070544686,1,1.0
0413300002,0.10758011835045371,0.7550563793586867,234,0.02335799716545405,-0.019724789066604118,2,1.0
0413300005,0.11358733355680252,0.7467758542015439,195,0.035560193642438294,-0.0337830149367678,1,0.7129882455959912
0413300006,0.10644492474231092,0.7178878784179688,199,0.03320813726562525,-0.03888562589505583,2,0.5
0413400003,0.11895536765074119,0.5769954583583734,174,0.023584526397732064,-0.023103398756304412,1,1.0
0413400004,0.11079157585107186,0.7656972986488526,234,0.02715093532712879,-0.019050378864124348,2,1.0
0414300005,0.10192889922585342,0.6933973206103372,195,0.03582497273973619,-0.04496315672403417,1,0.7129882455959912
0414400006,0.11063293576943148,0.7118844039351852,211,0.02173308267326363,-0.03333286424575855,2,1.0
0415300002,0.09787700803337436,0.6439970566629606,199,0.021279616457442162,-0.035866102701938345,2,0.5
0415300005,0.22578694580723999,0.6070636971286996,199,0.023347063585480825,-0.021589435546607527,0,1.0
0415300006,0.09950674789279677,0.6723138936742815,199,0.020892318146846535,-0.03754644122793756,2,0.5
0415400002,0.09532199186437271,0.7486269782571232,199,0.03945893084179768,-0.03073864274595013,2,0.5
0415400009,0.10613562901814778,0.710079345703125,234,0.019623971515231653,-0.023517253631694574,2,1.0
0416200004,0.09784016505833468,0.7065511041380217,234,0.020720626038554946,-0.023171473857829014,2,1.0
0416300001,0.09233626726597184,0.8053468964605299,234,0.021298554698270702,-0.010581614850252592,2,1.0
0421100005,0.10664560000101725,0.7139702479044596,199,0.04528274835161851,-0.02432911627041999,1,0.5
0421200008,0.10821075823805494,0.7270122691425929,199,0.026657000329352313,-0.01885977439355732,2,0.5
0421200009,0.10431331033270778,0.739673737254048,199,0.027465326917109418,-0.018219896205170418,2,0.5
0421300003,0.11306422551472982,0.7660175323486328,199,0.04498276803617476,-0.034453305825147246,1,0.5
0421400012,0.12564920602286966,0.7152696193609023,234,0.021163239379243318,-0.016618887110943788,2,1.0
0421400013,0.10269152438906379,0.756633780595195,234,0.01925837659788219,-0.015594189579728045,2,1.0
0421400014,0.10466399296149381,0.7506100492211687,234,0.019535725075370575,-0.015871154366560745,2,1.0
0422100002,0.09123846986954828,0.7742516063084112,234,0.02136158341168079,-0.012747484171159892,2,1.0
0422100003,0.09417919984395007,0.6448020397777289,234,0.019460972173653106,-0.017313608881909776,2,1.0
0422200010,0.10093631341509761,0.7672151507753314,195,0.042378867109327346,-0.03974001621320043,1,0.7129882455959912
0422200011,0.17250206728623854,0.8284796595268542,234,0.021889047582287206,-0.013631768091404962,2,1.0
0422300003,0.10611171591667663,0.6992107326289255,234,0.021838290360997152,-0.02318272397514063,2,1.0
0422400001,0.12123362382153732,0.7211647369295271,211,0.01877101258355086,-0.03168964358059744,2,1.0
0423100008,0.10210656033663222,0.7825964679212168,234,0.03400459866428507,-0.026878985314566547,2,1.0
0423100009,0.10343185306315385,0.7740196774394683,234,0.015545399401764422,-0.023634081754258573,2,1.0
0423200009,0.15108204663284425,0.7164043971470424,195,0.027167448222734703,-0.02595914139128517,1,0.7129882455959912
0423200010,0.1125841497483099,0.7724637740697616,195,0.03374456730381913,-0.023478649466094834,1,0.7129882455959912
0423200011,0.108549885018162,0.7563725224247685,199,0.042403708896917656,-0.024530755008829827,2,0.5
0423200012,0.11699309031958903,0.7641554524840739,234,0.05202358769302355,-0.02739846948289331,2,1.0
0423300004,0.1096549098302573,0.7018765484845196,195,0.029177486150459356,-0.04063878283028892,1,0.7129882455959912
0423400002,0.12508814417404882,0.7369386447034263,195,0.03866299712812922,-0.04071136677151363,1,0.7129882455959912
0423400004,0.11039187842771002,0.7164918514261222,199,0.026963772959579982,-0.02424651159707908,2,0.5
0423400005,0.10008340835571289,0.8224996948242187,234,0.021151159387492006,-0.013077558399961062,2,1.0
0424100001,0.12417227695360965,0.7296724153807382,199,0.017715639410347966,-0.02523366416729053,2,0.5
0424200005,0.18939994812011718,0.8277835083007813,234,0.02102072948881365,-0.012968621567169662,2,1.0
0424200013,0.1673638815333468,0.6677475213685633,234,0.02764458114416541,-0.014888468616609179,2,1.0
0424300003,0.10818912497505401,0.7015434970182194,234,0.023560171248835898,-0.020325088798302533,2,1.0
0424300004,0.10578244289215064,0.7281424613189077,234,0.021797865716705323,-0.020166764935379423,2,1.0
0424300008,0.10352550789161964,0.7235163935908565,195,0.0480961561781265,-0.03353584062162666,1,0.7129882455959912
0424300009,0.12442618141830927,0.728799890588831,195,0.03574205991997576,-0.03445100286819768,1,0.7129882455959912
0424400009,0.10178952100800305,0.7388560225323932,234,0.02457927097611496,-0.023391731683372136,2,1.0
0425100003,0.09999262076898796,0.7676570726477582,211,0.020140874591326283,-0.02765954128771462,2,1.0
0425200001,0.13617304813353406,0.7518669426774179,195,0.041653688765727254,-0.03964603819111967,1,0.7129882455959912
0425200002,0.22274024777296114,0.7507462664348323,234,0.025780866403044927,-0.028894337498896867,0,1.0
0425200005,0.28552817396662267,0.7376759440104167,211,0.027204228184480903,-0.03004316851722358,0,1.0
