,cluster,cluster_label,seasonal_ndvi_integral,percentile_in_cluster,estimated_yield_bu_ac,confidence
0413100003,2,"Corn-like (early peak, fast decline)",91.36998985275898,71.05263157894737,250.57633506764276,0.7430459612947828
0413300002,0,"Soybean-like (later peak, slower decline)",72.47695468859452,11.538461538461538,62.39259813470569,0.7714295421522082
0413300005,2,"Corn-like (early peak, fast decline)",91.43077913502736,73.68421052631578,250.77312507808978,0.7386871962048307
0413300006,2,"Corn-like (early peak, fast decline)",90.6237091527532,60.526315789473685,248.16043902034093,0.8696704033908076
0413400003,2,"Corn-like (early peak, fast decline)",82.95478179003015,5.263157894736842,223.33421572057725,0.612393388268697
0413400004,0,"Soybean-like (later peak, slower decline)",77.29657062327163,21.794871794871796,68.59195777331452,0.7384320652403324
0414300005,0,"Soybean-like (later peak, slower decline)",89.1160402554137,96.15384615384616,83.79506606666716,0.5200583516971068
0415300002,2,"Corn-like (early peak, fast decline)",83.52071052876238,7.894736842105263,225.1662676588722,0.7972533112321857
0415300005,1,Non-row-crop (already green in April),94.55912472382488,100.0,,0.5823298339138838
0415300006,2,"Corn-like (early peak, fast decline)",83.90985185406316,10.526315789473683,226.426014815175,0.867677068202475
0415400002,0,"Soybean-like (later peak, slower decline)",87.84281319312768,91.02564102564102,82.15734377350084,0.6213771438456817
0415400009,0,"Soybean-like (later peak, slower decline)",82.2201877294743,47.43589743589743,74.92509169474215,0.7425286177962065
0416200004,0,"Soybean-like (later peak, slower decline)",82.59617649434925,52.56410256410257,75.4087172792551,0.7444581245471761
0416300001,0,"Soybean-like (later peak, slower decline)",71.58543826290668,7.6923076923076925,61.24586133628147,0.768029023122163
0421100005,0,"Soybean-like (later peak, slower decline)",87.82995649764948,89.74358974358975,82.1408065057779,0.6173777162535964
0421200008,2,"Corn-like (early peak, fast decline)",85.33391658137313,15.789473684210526,231.03606616151623,0.5697140778845269
0421200009,2,"Corn-like (early peak, fast decline)",85.72989088116495,21.052631578947366,232.3179333539718,0.5473798255896005
0421300003,2,"Corn-like (early peak, fast decline)",88.57114063905172,42.10526315789473,241.51576475899506,0.5950556433909587
0421400012,0,"Soybean-like (later peak, slower decline)",80.27869825687675,37.17948717948718,72.42779903940705,0.728724365138127
0421400013,0,"Soybean-like (later peak, slower decline)",80.81952547135273,38.46153846153847,73.12345247949973,0.7908326814689309
0421400014,0,"Soybean-like (later peak, slower decline)",80.16017084133053,35.8974358974359,72.27533998748986,0.8106805919386151
0422100002,0,"Soybean-like (later peak, slower decline)",81.88524690841012,44.871794871794876,74.49426512358573,0.7735101854751535
0422100003,0,"Soybean-like (later peak, slower decline)",70.52372569134256,6.41025641025641,59.8802052024387,0.5779587551313705
0422200010,2,"Corn-like (early peak, fast decline)",93.48911014863752,92.10526315789474,257.4364539833945,0.7098401577152227
0422300003,0,"Soybean-like (later peak, slower decline)",78.31058941894545,29.48717948717949,69.89626651490146,0.7392045339529325
0422400001,0,"Soybean-like (later peak, slower decline)",85.87516341367524,76.92307692307693,79.6264017252166,0.642227235126611
0423100008,0,"Soybean-like (later peak, slower decline)",81.95758105276556,46.15384615384615,74.58730684746752,0.5577029808540247
0423100009,0,"Soybean-like (later peak, slower decline)",82.45142219691253,51.28205128205128,75.22252320047225,0.8371072504957309
0423200009,0,"Soybean-like (later peak, slower decline)",90.41330760833809,100.0,85.46371082533778,0.5882364027819731
0423200010,2,"Corn-like (early peak, fast decline)",92.38835760812366,84.21052631578947,253.8730445160663,0.5362973768880498
0423200012,0,"Soybean-like (later peak, slower decline)",87.27594306460418,85.8974358974359,81.42819194009088,0.7589239133897139
0423300004,2,"Corn-like (early peak, fast decline)",86.49996931732738,23.684210526315788,234.81086858601353,0.5284373726840674
0423400002,2,"Corn-like (early peak, fast decline)",90.99019000025132,68.42105263157895,249.34682857975966,0.7053888251352727
0423400004,2,"Corn-like (early peak, fast decline)",84.05994267687676,13.157894736842104,226.91189610028508,0.6240989238357203
0423400005,0,"Soybean-like (later peak, slower decline)",83.77715826975742,62.82051282051282,76.92778661001257,0.7075830522008199
0424100001,0,"Soybean-like (later peak, slower decline)",86.6691307866216,82.05128205128204,80.64766345082454,0.7787523571491651
0424200005,0,"Soybean-like (later peak, slower decline)",86.44639653649386,79.48717948717949,80.36116557649338,0.5379879520190749
0424200013,0,"Soybean-like (later peak, slower decline)",77.85225910285683,25.64102564102564,69.30672691232294,0.5288950925571074
0424300003,0,"Soybean-like (later peak, slower decline)",76.35931045570794,17.94871794871795,67.38638186593481,0.7324306163752845
0424300004,0,"Soybean-like (later peak, slower decline)",77.6355603574254,23.076923076923077,69.02799236700386,0.7908786020938313
0424300008,2,"Corn-like (early peak, fast decline)",87.54409989924721,31.57894736842105,238.19097870504456,0.7309009794861342
0424300009,2,"Corn-like (early peak, fast decline)",90.93229821993928,63.1578947368421,249.1594185030606,0.6988211057902852
0424400009,0,"Soybean-like (later peak, slower decline)",81.65975569774304,41.02564102564102,74.20422103517349,0.7835935560430177
0425100003,0,"Soybean-like (later peak, slower decline)",85.62220628062988,73.07692307692307,79.30102886103948,0.7966410437581141
0425200001,2,"Corn-like (early peak, fast decline)",86.92096757458626,26.31578947368421,236.17374454625852,0.8060874131724859
0425200002,1,Non-row-crop (already green in April),82.22748580795914,55.55555555555556,,0.5511396979165872
0425200005,1,Non-row-crop (already green in April),84.00971786880582,77.77777777777779,,0.8441160254655268
0425300001,2,"Corn-like (early peak, fast decline)",91.46584537002482,76.31578947368422,250.88664319335587,0.812363379919153
0425300002,1,Non-row-crop (already green in April),87.08811421969003,88.88888888888889,,0.7022508267958637
0425400001,1,Non-row-crop (already green in April),76.88426979311124,33.33333333333333,,0.7128911807191384
0425400008,1,Non-row-crop (already green in April),77.93964457978687,44.44444444444444,,0.6888855717009622
0426200001,2,"Corn-like (early peak, fast decline)",93.22953685565786,89.47368421052632,256.5961507402718,0.7315235848104379
0426200003,2,"Corn-like (early peak, fast decline)",92.1896792965981,78.94736842105263,253.2298734579169,0.7393520926151147
0426200004,2,"Corn-like (early peak, fast decline)",92.32694534352454,81.57894736842105,253.6742377570282,0.6767145781532934
