,cluster,cluster_label,seasonal_ndvi_integral,percentile_in_cluster,acres,estimated_yield_bu_ac,estimated_total_bushels,confidence
0101100001,2,"Soybean-like (later peak, slower decline)",76.94661222190983,46.882849965745606,79.12444891424985,73.87193499988322,5845.076147095046,0.726206131940176
0101100003,2,"Soybean-like (later peak, slower decline)",83.0578724192591,83.19250970541219,77.77893015033577,79.69478529530429,6198.575138829478,0.6753072175454525
0101200002,2,"Soybean-like (later peak, slower decline)",73.89542052842269,28.68234756793789,30.074590705717178,70.96473879483307,2134.235473792734,0.6688623905484453
0101200006,2,"Soybean-like (later peak, slower decline)",72.2196471803294,20.872345284311486,10.295986511815167,69.36805054725426,714.2125127854425,0.7106963626705928
0101200007,2,"Soybean-like (later peak, slower decline)",75.57331465003884,38.06805206668189,38.06863221577674,72.56344772985364,2762.3912039365373,0.6868807060436337
0101200009,1,"Corn-like (early peak, fast decline)",71.73079959551379,5.767646251029937,79.30452834353706,231.91534686538557,18391.9371987872,0.5278076558595373
0101300002,1,"Corn-like (early peak, fast decline)",76.1520315383076,12.057127162867344,34.84092122054145,236.65941727909868,8245.432113520324,0.561679624351915
0101300005,1,"Corn-like (early peak, fast decline)",70.91676240325528,5.190881625926943,56.563108404988576,231.0418686562746,13068.446262895992,0.5085905892076462
0101300006,2,"Soybean-like (later peak, slower decline)",71.85692091942924,19.456496917104364,15.609195200496426,69.02244249797572,1077.384778165943,0.5582437938142706
0101300007,1,"Corn-like (early peak, fast decline)",85.35358592426226,64.76242790442186,19.83935476005559,246.53286940452486,4891.053056130823,0.648937812845621
0101300008,2,"Soybean-like (later peak, slower decline)",76.80195378691403,46.015071934231564,19.6364292465314,73.73410345880175,1447.8745056251869,0.7217377720230191
0101400003,2,"Soybean-like (later peak, slower decline)",71.06566105283048,16.46494633477963,21.6724638763968,68.26852471355903,1479.5471357495103,0.6615191441870208
0101400004,2,"Soybean-like (later peak, slower decline)",54.24451681214528,0.822105503539621,10.647916950041584,52.241224034449004,556.2602148873293,0.5383982822921112
0101400007,1,"Corn-like (early peak, fast decline)",71.48078606120758,5.6028563581433675,58.305990092208575,231.64707733633202,13506.412196061248,0.5155247303779341
0101400008,1,"Corn-like (early peak, fast decline)",82.80231239571566,44.575666025817085,19.160671127684513,243.79530181687664,4671.28160058776,0.6143785427941322
0101400009,1,"Corn-like (early peak, fast decline)",81.32969208828185,34.715737434770666,19.136492023759715,242.21515073647092,4635.1483001022325,0.6947584868818785
0101400010,2,"Soybean-like (later peak, slower decline)",83.81316428229545,86.00137017583923,18.50495992284399,80.41443252120997,1488.065851023233,0.6276375338172554
0102100001,1,"Corn-like (early peak, fast decline)",75.63617608128018,11.12331776984345,40.43612913407887,236.10589404324472,9547.208420849785,0.549333028273926
0102100002,1,"Corn-like (early peak, fast decline)",74.67530345216258,9.25569898379566,33.22983947858586,235.07485846987393,7811.4998124052,0.5109473201740894
0102100006,1,"Corn-like (early peak, fast decline)",73.71220409206363,7.8275199121120576,64.82365942876113,234.04143356956791,15171.422181932694,0.5199916240091451
0102100007,1,"Corn-like (early peak, fast decline)",80.3139749083324,27.657237022795933,20.625814718381402,241.12526586174675,4973.405057584845,0.5171715234522581
0102200002,1,"Corn-like (early peak, fast decline)",72.57554783661848,6.426805822576215,80.7031995653521,232.8217786449245,18789.462465141572,0.5121319971241445
0102200003,2,"Soybean-like (later peak, slower decline)",79.56712563512494,62.822562228819365,75.38772862401335,76.36877800926987,5757.268711910356,0.6396998484570072
0102300001,1,"Corn-like (early peak, fast decline)",83.10432456255452,46.77286459763801,39.87810212761485,244.11936691995652,9735.017045362709,0.5258588265412432
0102300002,2,"Soybean-like (later peak, slower decline)",63.85691708458329,2.9230417903630967,40.35153202452613,61.39998441423917,2477.583437396577,0.7116161824341508
0102300005,1,"Corn-like (early peak, fast decline)",83.9061858032835,52.84262565229333,43.86801043636594,244.97978008924207,10746.775549653505,0.5116228950260495
0102300006,1,"Corn-like (early peak, fast decline)",81.86019629917106,37.956605328206535,25.063967324541036,242.78439237857293,6085.140077485102,0.5192619761021365
0102400001,2,"Soybean-like (later peak, slower decline)",68.9255926967342,9.86526604247545,39.38276348941171,66.2294530234154,2608.298884454272,0.5533391229385815
